sub-	亜	ア, つ-ぐ	под-
throat	咽	イン, むせ-ぶ, むせ-る, のど	захлёбываться
matrimony	姻	イン	брачное родство
member	員	イン	персонал
institution	院	イン	учреждение
lewdness	淫	イン、みだ-ら	разврат
shade	陰	イン、かげ、かげ-る	тень
drink	飲	イン、の-む	пить
conceal	隠	イン、かく-す、かく-れる	прятать
rhyme	韻	イン	рифма
right (direction)	右	ウ、ユウ、みぎ	правый
eaves	宇	ウ	вселенная
feather	羽	ウ, は, わ, はね	перья
rain	雨	ウ、あめ、（あま）, -さめ	дождь
songs with samisen	唄	バイ, うた, うた-う	песня
gloom	鬱	ウツ, ふさ-ぐ	меланхолия
furrow	畝	ホ, うね, せ	грядка
bay	浦	ホ, うら	бухта
carry	運	ウン、はこ-ぶ	судьба
cloud	雲	ウン、くも	туча
eternity	永	エイ、なが-い	вечный
swim	泳	エイ、およ-ぐ	плавать
England	英	エイ, はなぶさ	венчик
reflect	映	エイ、うつ-る、うつ-す、は-える	отражаться
prosperity	栄	エイ、さか-える、は-え、は-える	расцвет
manage	営	エイ、いとな-む	бизнес
recitation	詠	エイ, よ-む, うた-う	стихосложение
shadow	影	エイ、かげ	силуэт
pointed	鋭	エイ、するど-い	острый
defense	衛	エイ, エ	охранять
easy	易	エキ, イ, やさ-しい, やす-い	лёгкий
epidemic	疫	エキ、（ヤク）	эпидемия
benefit	益	エキ、（ヤク）, ま-す	польза
fluid	液	エキ	жидкость
station	駅	エキ	станция
ecstasy	悦	エツ, よろこ-ぶ, よろこ-ばす	восторг
crossover	越	エツ、こ-す、こ-える	пересекать
audience	謁	エツ	аудиенция
review	閲	エツ, けみ-する	просматривать
round, yen	円	エン, まる-い, まる, まろ-やか, まど, まど-か	иена
prolong	延	エン、の-びる、の-べる、の-ばす	растягивать
run alongside	沿	エン、そ-う	вдоль
inflammation	炎	エン、ほのお	пламя
grudge	怨	エン、オン, うら-む, うらみ, うら-めしい	злоба
banquet	宴	エン, うたげ	банкет
princess	媛	エン, ひめ	барышня
aid	援	エン	помощь
garden	園	エン、その	сад
smoke	煙	エン、けむ-る、けむり、けむ-い	дым
monkey	猿	エン、さる	обезьяна
far	遠	エン、（オン）、とお-い	далёкий
lead	鉛	エン、なまり	свинец
salt	塩	エン、しお	соль
perform	演	エン	исполнять
affinity	縁	エン、ふち, ふちど-る, ゆかり, よすが, へり, えにし	узы
glossy	艶	エン, つや, なま-めかしい, なま-めく, あで-やか, つや-めく	очарование
dirty	汚	オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い	грязь
king	王	オウ, -ノウ	монарх
concave	凹	オウ, くぼ-む, へこ-む, ぼこ	вогнутый
center	央	オウ	центр
respond	応	オウ、こた-える	реагирование
outward journey	往	オウ, い-く, ゆ-く	направляться
push	押	オウ、お-す、お-さえる	надавливать
flourishing	旺	オウ	названия компаний
Europe	欧	オウ	Европа
assault	殴	オウ、なぐ-る	бить
cherrytree	桜	オウ、さくら	вишня
venerable old man	翁	オウ, おきな	старец
heart	奥	オウ、おく, おく-まる	глубь
side	横	オウ、よこ	горизонтальный
hill	岡	コウ, おか	холм
roof	屋	オク、や	здание
hundred million	億	オク	сто миллионов
recollection	憶	オク	память
timidity	臆	オク	робкий
uneasiness	虞	グ,おそれ	опасения
thelatter	乙	オツ, イツ, おと-, きのと	второй
I, we	俺	おれ	я
wholesale	卸	おろ-す、おろし	оптовый
sound	音	オン、イン、おと、ね	звук
grace	恩	オン	признательность
warm	温	オン, あたた-か, あたた-かい, あたた-まる, あたた-める, ぬく	тёплый
calm	穏	オン、おだ-やか	умеренный
below	下	カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる	низ
change	化	カ、ケ、ば-ける、ば-かす	превращаться
fire	火	カ、ひ、（ほ）	огонь
add	加	カ、くわ-える、くわ-わる	добавлять
possible	可	カ, -べ-き, -べ-し	одобрять
temporary	仮	カ、（ケ）、かり	временный
what	何	カ、なに、（なん）	что
flower	花	カ、はな	цветок
excellent	佳	カ	прекрасный
value	価	カ、あたい	цена
fruit	果	カ、は-たす、は-てる、は-て	плод
river	河	カ、かわ	река
torment	苛	カ, いじ-める, さいな-む, いらだ-つ	мучить
section	科	カ	отделение
rack	架	カ、か-ける、か-かる	подставка
summer	夏	カ、（ゲ）、なつ	лето
house	家	カ, ケ, いえ, や, うち	дом
luggage	荷	カ、に	ноша
splendor	華	カ、（ケ）、はな	пышный
confectionery	菓	カ	сласти
freight	貨	カ, たから	монета
whirlpool	渦	カ、うず	водоворот
go beyond	過	カ、す-ぎる、す-ごす、あやま-つ、あやま-ち, よ-ぎる	превышать
marry into	嫁	カ、よめ、とつ-ぐ	невеста
sparetime	暇	カ, ひま, いとま	досуг
calamity	禍	カ, わざわい	бедствие
shoes	靴	カ、くつ	обувь
widow	寡	カ	мало
song	歌	カ、うた、うた-う	песня
counters for things	箇	カ, コ	штука
earnings	稼	カ、かせ-ぐ	зарабатывать
section	課	カ	отдел
mosquito	蚊	か	комар
tusk	牙	ガ、（ゲ）、きば	клык
tile	瓦	ガ, かわら	черепица
ego	我	ガ、われ、わ	эго
tableau	画	ガ、カク, えが-く	картина
bud	芽	ガ、め	бутон
congratulations	賀	ガ	поздравление
gracious	雅	ガ, みや-び	изящный
starve	餓	ガ, う-える	голод
jammed in	介	カイ	посредничать
times	回	カイ、（エ）、まわ-る、まわ-す, もとお-る	вращаться
ashes	灰	カイ、はい	пепел
association	会	カイ、エ、あ-う	встреча
cheerful	快	カイ、こころよ-い	приятный
commandment	戒	カイ、いまし-める	предостерегать
reformation	改	カイ、あらた-める、あらた-まる	изменять
suspicious	怪	カイ、あや-しい、あや-しむ	загадочный
kidnap	拐	カイ	похищать
repent	悔	カイ、く-いる、く-やむ、くや-しい	раскаиваться
sea	海	カイ、うみ	море
world	界	カイ	сфера
all	皆	カイ, みな, みんな	все
contraption	械	カイ	механизм
picture	絵	カイ、エ	картина
open	開	カイ、ひら-く、ひら-ける、あ-く、あ-ける	открывать
floor of a building	階	カイ, きざはし	этаж
clod	塊	カイ、かたまり, つちくれ	кусок
square character style	楷	カイ	уставной стиль
untie	解	カイ, ゲ, と-く, と-かす, と-ける, ほど-く, ほど-ける, わか-る	развязывать
crush	潰	カイ、つぶ-す、つぶ-れる, つい-える	крушить
demolition	壊	カイ、こわ-す、こわ-れる	разрушать
pocket	懐	カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける, なず-ける, いだ-く, おも-う	ностальгия
harmony	諧	カイ	благозвучие
shellfish	貝	バイ, かい	раковина
outside	外	ガイ、ゲ、そと、ほか、はず-す、はず-れる	вне
censure	劾	ガイ	обвинять
harm	害	ガイ	вред
cliff	崖	ガイ、がけ	утёс
horizon	涯	ガイ, はて	предел
street	街	ガイ、（カイ）、まち	улица
rue	慨	ガイ	скорбеть
cover	蓋	ガイ、ふた, けだ-し	крышка
above-stated	該	ガイ	вышеупомянутый
outline	概	ガイ, おうむ-ね	в общем
dead remains	骸	ガイ, カイ, むくろ	останки
hedge	垣	エン, かき	ограда
persimmon	柿	シ, かき, こけら	хурма
each	各	カク、おのおの	каждый
angle	角	カク、かど、つの	угол
broaden	拡	カク, ひろ-がる, ひろ-げる	расширять
leather	革	カク、かわ	кожа
status	格	カク、（コウ）	разряд
nucleus	核	カク	ядро
husk	殻	カク、から	скорлупа
enclosure	郭	カク, くるわ	ограждённая площадь
memorize	覚	カク、おぼ-える、さ-ます、さ-める	ощущение
contrast	較	カク, くら-べる	сравнивать
isolate	隔	カク、へだ-てる、へだ-たる	разделять
tall	閣	カク	высокое здание
certain	確	カク、たし-か、たし-かめる	определённый
seize	獲	カク、え-る	добыча
menacing	嚇	カク, おど-かす	угроза
harvest	穫	カク	урожай
study	学	ガク、まな-ぶ	учиться
point	岳	ガク、たけ	пик
pleasure	楽	ガク、ラク、たの-しい、たの-しむ	удовольствие
amount	額	ガク、ひたい	сумма
jaw	顎	ガク、あご	челюсть
hang	掛	か-ける、か-かる、かかり	вешать
lagoon	潟	セキ, かた	лагуна
fasten	括	カツ, くく-る	охватывать
active	活	カツ, い-きる, い-かす, い-ける	живой
hoarse	喝	カツ	орать
thirst	渇	カツ、かわ-く	жажда
divide	割	カツ、わ-る、わり、わ-れる、さ-く	разделять
arrowroot	葛	カツ, カチ, つづら, くず	пуэрария
slippery	滑	カツ、コツ、すべ-る、なめ-らか	скользить
brown	褐	カツ	коричневый
control	轄	カツ, くさび	юрисдикция
moreover	且	か-つ	кроме того
stocks	株	シュ, かぶ	акция
kettle	釜	フ, かま	котелок
sickle	鎌	レン, ケン, かま	серп
reap	刈	ガイ, カイ, か-る	косить
dry	干	カン、ほ-す、ひ-る	сухой
publish	刊	カン	издавать
sweet	甘	カン, あま-い, あま-える, あま-やかす, うま-い	сладкий
sweat	汗	カン、あせ	пот
tincan	缶	カン, かま	консервная банка
perfect	完	カン	завершение
liver	肝	カン、きも	печень
government official	官	カン	чиновник
crown	冠	カン、かんむり	корона
scroll	巻	カン, ケン、ま-く、まき	свиток
watchover	看	カン, み-る	присматривать
collapse	陥	カン、おちい-る、おとしい-れる	впадать
dry	乾	カン, ケン, かわ-く, かわ-かす, ほ-す, ひ-る, いぬい	сухой
intuition	勘	カン	разбираться
afflicted	患	カン、わずら-う	больной
pierce	貫	カン、つらぬ-く	пронзать
cold	寒	カン、さむ-い	холод
yell	喚	カン, わめ-く	вопить
withstand	堪	カン, タン, た-える, たま-る, こ-らえる, こた-える	терпеть
interchange	換	カン、か-える、か-わる	обменивать
daring	敢	カン, あ-えて, あ-えない, あ-えず	решительный
coffin	棺	カン	гроб
goodwill	款	カン	параграф
interval	間	カン, ケン, あいだ, ま, あい	интервал
leisure	閑	カン	досуг
persuade	勧	カン、すす-める	советовать
tolerant	寛	カン, くつろ-ぐ, ひろ-い	великодушие
tree-trunk	幹	カン、みき	ствол
feeling	感	カン	чувство
China	漢	カン	китайский
accustomed	慣	カン、な-れる、な-らす	обыкновение
pipe	管	カン、くだ	труба
related	関	カン、せき、かか-わる、からくり	застава
delight	歓	カン, よろこ-ぶ	радость
oversee	監	カン	надзирать
slacken	緩	カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める	ослаблять
remorse	憾	カン, うら-む	сожалеть
sendback	還	カン, かえ-る	возвращать
public building	館	カン, やかた, たて	здание
ring	環	カン, わ	кольцо
simplicity	簡	カン	простой
observe	観	カン, み-る	осматривать
Korea	韓	カン	Южная Корея
warship	艦	カン	военный корабль
specimen	鑑	カン, かんが-みる, かがみ	оценивать
circle	丸	ガン、まる、まる-い、まる-める	круглый
include	含	ガン、ふく-む、ふく-める	содержать
beach	岸	ガン、きし	берег
boulder	岩	ガン、いわ	скала
trifle with	玩	ガン, もちあそ-ぶ	игрушка
eyeball	眼	ガン、（ゲン）、まなこ, め	глаз
stubborn	頑	ガン, かたく	упорный
face	顔	ガン、かお	лицо
request	願	ガン、ねが-う	просьба
plan	企	キ, くわだ-てる, たくら-む	замысел
deed	伎	ギ, キ, わざ	кабуки
dangerous	危	キ、あぶ-ない、あや-うい、あや-ぶむ	опасный
desk	机	キ、つくえ	стол
feeling	気	キ、ケ	дух
branch off	岐	キ	разветвляться
hope	希	キ, ケ, まれ	редкий
mourning	忌	キ、い-む、い-まわしい	воздерживаться
steam	汽	キ	пар
strange	奇	キ, く-しき	необыкновенный
pray	祈	キ、いの-る	молитва
seasons	季	キ	сезон
chronicle	紀	キ	эра
rut	軌	キ	колея
previously	既	キ、すで-に	уже
write down	記	キ、しる-す	записывать
wake up	起	キ、お-きる、お-こる、お-こす	вставать
hungry	飢	キ、う-える	голод
ghost	鬼	キ、おに	чёрт
return	帰	キ、かえ-る、かえ-す	возвращаться
foundation	基	キ、もと、もとい	основа
approach	寄	キ、よ-る、よ-せる	подходить
rule	規	キ	правило
turtle	亀	キ、かめ	черепаха
rejoice	喜	キ、よろこ-ぶ	радость
how many	幾	キ、いく	сколько
brandish	揮	キ, ふる-う	размахивать
period of time	期	キ、（ゴ）	срок
chess piece	棋	キ, ご	шахматы
precious	貴	キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ	благородный
abandon	棄	キ, す-てる	отбрасывать
destroy	毀	キ, こぼ-つ, こわ-す, こわ-れる, こぼ-れる	портить
national flag	旗	キ、はた	флаг
container	器	キ、うつわ	сосуд
capital	畿	キ	столичная область
radiance	輝	キ、かがや-く	сверкать
machine	機	キ、はた	механизм
equestrian	騎	キ	всадник
skill	技	ギ、わざ	мастерство
best regards	宜	ギ, よろ-しい	благоприятный
falsehood	偽	ギ、いつわ-る、にせ	ложный
deceit	欺	ギ、あざむ-く	обман
righteousness	義	ギ	честь
doubt	疑	ギ、うたが-う	подозрение
ceremony	儀	ギ	церемония
frolic	戯	ギ、たわむ-れる, ざ-れる, じゃ-れる	забава
mimic	擬	ギ, まが-い, もど-き	имитация
sacrifice	犠	ギ, いけにえ	жертва
deliberation	議	ギ	обсуждение
chrysanthemum	菊	キク	хризантема
goodluck	吉	キチ、キツ, よし	удача
consume	喫	キツ	закусывать
packed	詰	キツ、つ-める、つ-まる、つ-む	набивать
instead	却	キャク, かえ-って, しりぞ-ける	убирать
guest	客	キャク、カク	гость
leg	脚	キャク、（キャ）、あし	ножка
inverted	逆	ギャク、さか, さか-さ、さか-らう	наоборот
tyrannize	虐	ギャク、しいた-げる	тиранить
nine	九	キュウ、ク、ここの、ここの-つ	девять
long time	久	キュウ、（ク）、ひさ-しい	долгий
reach out	及	キュウ、およ-ぶ、およ-び、およ-ぼす	достигать
bow (archery, violin)	弓	キュウ、ゆみ	лук
hill	丘	キュウ、おか	холм
old times	旧	キュウ, ふる-い, もと	прежний
rest	休	キュウ、やす-む、やす-まる、やす-める	отдых
suck	吸	キュウ、す-う	сосать
decay	朽	キュウ、く-ちる	гнить
mortar	臼	キュウ、うす, うすづ-く	ступа
request	求	キュウ、もと-める	требовать
research	究	キュウ、きわ-める	осваивать
cry	泣	キュウ、な-く	плакать
hurry	急	キュウ、いそ-ぐ	спешить
rank	級	キュウ	разряд
twist	糾	キュウ, ただ-す	разузнавать
Shinto shrine	宮	キュウ、グウ、（ク）、みや	дворец
salvation	救	キュウ、すく-う	спасать
sphere	球	キュウ、たま	мяч
salary	給	キュウ, たま-う	снабжать
smell	嗅	キュウ、か-ぐ	нюхать
hardup	窮	キュウ,  きわ-める, きわ-まる, きわ-み	тяжёлое положение
cow	牛	ギュウ、うし	корова
leave	去	キョ、コ、さ-る	уходить
gigantic	巨	キョ	огромный
reside	居	キョ、い-る, お-る	проживать
repel	拒	キョ、こば-む	отказываться
foothold	拠	キョ, コ, よ-る	основываться
raise	挙	キョ, あ-げる, あ-がる	поднимать
void	虚	キョ, むな-しい, うつ-ろ	пустота
permit	許	キョ, ゆる-す, もと	разрешать
long-distance	距	キョ, へだ-たる, けづめ	расстояние
fish	魚	ギョ、うお、さかな	рыба
honorable	御	ギョ, ゴ, おん-, お-, み-	гонорифические префиксы
fishing	漁	ギョ, リョウ, あさ-る	рыболовство
villain	凶	キョウ	несчастье
together	共	キョウ、とも	совместный
shout	叫	キョウ、さけ-ぶ	крик
lunatic	狂	キョウ、くる-う、くる-おしい	сумасшедший
capital	京	キョウ, ケイ, キン, みやこ	столичный город
receive	享	キョウ, う-ける	получать
offer	供	キョウ、（ク）、そな-える、とも	предоставлять
cooperation	協	キョウ	сотрудничество
condition	況	キョウ, まし-て, いわ-んや	положение
gorge	峡	キョウ, はざま	ущелье
pinch	挟	キョウ、はさ-む、はさ-まる, さしはさ-む	зажимать
cramped	狭	キョウ、せま-い、せば-める、せば-まる	узкий
fear	恐	キョウ, おそ-れる, おそ-る, おそ-ろしい, こわ-い, こわ-がる	страх
respect	恭	キョウ、うやうや-しい	почтительный
bosom	胸	キョウ、むね、（むな）	грудь
threaten	脅	キョウ、おびや-かす、おど-す、おど-かす	угрожать
strong	強	キョウ, ゴウ, つよ-い, つよ-まる, つよ-める, し-いる, こわ-い	сильный
teach	教	キョウ、おし-える、おそ-わる	учить
hometown	郷	キョウ、ゴウ, さと	родина
boundary	境	キョウ、（ケイ）、さかい	граница
bridge	橋	キョウ、はし	мост
rectify	矯	キョウ、た-める	выпрямлять
mirror	鏡	キョウ、かがみ	зеркало
compete	競	キョウ、ケイ、きそ-う、せ-る	состязаться
echo	響	キョウ、ひび-く	эхо
wonder	驚	キョウ、おどろ-く、おどろ-かす	изумляться
face-up	仰	ギョウ、（コウ）、あお-ぐ、おお-せ, お-っしゃる, おっしゃ-る	смотреть вверх
daybreak	暁	ギョウ、あかつき	рассвет
business	業	ギョウ、ゴウ、わざ	промышленность
congeal	凝	ギョウ, こ-る, こ-らす, こご-らす, こご-らせる, こご-る	застывать
musical composition	曲	キョク, ま-がる, ま-げる, くま	мелодия
office	局	キョク, つぼね	бюро
poles	極	キョク、ゴク、きわ-める、きわ-まる、きわ-み, き-める, き-まる	полюс
ball	玉	ギョク、たま	драгоценный камень
towel	巾	キン	тряпка
axe	斤	キン	катти
level	均	キン, なら-す	равнять
near	近	キン、ちか-い	близкий
gold	金	キン、コン、かね、（かな）	золото
germ	菌	キン	микроб
diligence	勤	キン、（ゴン）、つと-める、つと-まる, いそ-しむ	служба
harp	琴	キン、こと	гуцинь
muscle	筋	キン、すじ	мышца
aweebit	僅	キン、わず-か	всего лишь
prohibition	禁	キン	запрет
tense	緊	キン, し-める, し-まる	срочный
brocade	錦	キン、にしき	парча
discreet	謹	キン、つつし-む	почтительно
collar	襟	キン、えり	воротник
versify	吟	ギン	читать нараспев
silver	銀	ギン, しろがね	серебро
ward	区	ク	район города
phrase	句	ク	фраза
suffer	苦	ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る	горький
drive	駆	ク、か-ける、か-る	гнать
tool	具	グ, そな-える, つぶさ-に	принадлежности
dread	惧	グ, おそ-れる	опасение
foolish	愚	グ、おろ-か	глупый
sky	空	クウ、そら、から,  あ-く、あ-ける、す-く, す-かす, むな-しい	пустота
accidentally	偶	グウ, たま	чётный
interview	遇	グウ, あ-う	обращение
corner	隅	グウ、すみ	угол
skewer	串	くし	вертел
yield	屈	クツ, かが-む, かが-める	гнуться
dig	掘	クツ、ほ-る	копать
cavern	窟	クツ, コツ, いわや, いはや, あな	пещера
bear	熊	くま	медведь
winding	繰	ソウ, く-る	наматывать
you	君	クン、きみ	ты
instruction	訓	クン, おし-える, よ-む	наставление
meritorious deed	勲	クン, いさお	орден
fragrant	薫	クン、かお-る	благоухать
army	軍	グン	армия
county	郡	グン	уезд
flock	群	グン, む-れる, む-れ, むら, むら-がる	группа
older brother	兄	ケイ、（キョウ）、あに	старший брат
punish	刑	ケイ	кара
shape	形	ケイ、ギョウ、かた、かたち, なり	форма
lineage	系	ケイ	система
diameter	径	ケイ	диаметр
stalk	茎	ケイ、くき	стебель
person in charge	係	ケイ、かか-る、かかり, かか-わる	ответственный
model	型	ケイ、かた	тип
pledge	契	ケイ、ちぎ-る	обещание
measure	計	ケイ、はか-る、はか-らう	измерять
favor	恵	ケイ、エ、めぐ-む	благодеяние
disclose	啓	ケイ, ひら-く	просвещать
put up (a notice)	掲	ケイ、かか-げる	поднимать
mountain stream	渓	ケイ, たに	ущелье
manage	経	ケイ、キョウ、へ-る, た-つ	проходить
lightning-bug	蛍	ケイ、ほたる	светлячок
respect	敬	ケイ、うやま-う	уважать
scenery	景	ケイ	пейзаж
light	軽	ケイ, かる-い, かろ-やか, かろ-んじる	лёгкий
lean	傾	ケイ, かたむ-く, かたむ-ける, かたぶ-く, かた-げる, かし-げる	наклон
portable	携	ケイ、たずさ-える、たずさ-わる	иметь при себе
inherit	継	ケイ, つ-ぐ, まま-	следовать
visit a temple	詣	ケイ、もう-でる, まい-る	паломничество
jubilation	慶	ケイ, よろこ-び	поздравлять
long for	憬	ケイ, あこが-れる	жаждать
consider	稽	ケイ, かんが-える	думать
recess	憩	ケイ、いこ-い、いこ-う	передышка
guard against	警	ケイ, いまし-める	полиция
chicken	鶏	ケイ, にわとり, とり	курица
art	芸	ゲイ	искусство
welcome	迎	ゲイ、むか-える	выходить навстречу
whale	鯨	ゲイ、くじら	кит
fissure	隙	ゲキ、すき	щель
drama	劇	ゲキ	театр
beat	撃	ゲキ、う-つ	нападать
violent	激	ゲキ、はげ-しい	яростный
beam	桁	けた	брус
lack	欠	ケツ、か-ける、か-く	недостача
hole	穴	ケツ、あな	дыра
blood	血	ケツ、ち	кровь
decide	決	ケツ、き-める、き-まる	решать
tie	結	ケツ、むす-ぶ、ゆ-う、ゆ-わえる	узел
greatness	傑	ケツ, すぐ-れる	выдающийся
undefiled	潔	ケツ、いさぎよ-い	чистота
month, moon	月	ゲツ、ガツ、つき	месяц
dog	犬	ケン、いぬ	собака
affair	件	ケン, くだん	происшествие
see	見	ケン、み-る、み-える、み-せる	видеть
ticket	券	ケン	билет
shoulder	肩	ケン、かた	плечо
build	建	ケン、（コン）、た-てる、た-つ	строить
sharpen	研	ケン、と-ぐ	точить
prefecture	県	ケン	префектура
frugal	倹	ケン, つま-しい	бережливый
concurrently	兼	ケン、か-ねる	одновременно
sabre	剣	ケン、つるぎ	меч
fist	拳	ケン、こぶし	кулак
flats	軒	ケン、のき	свес крыши
healthy	健	ケン、すこ-やか	здоровый
precipitous	険	ケン、けわ-しい	обрывистый
sphere	圏	ケン	сфера
strict	堅	ケン、かた-い	твёрдый
examine	検	ケン	расследовать
dislike	嫌	ケン、（ゲン）、きら-う、いや	нелюбовь
offering	献	ケン、（コン）	пожертвование
silk	絹	ケン、きぬ	шёлк
dispatch	遣	ケン, つか-う, つか-わす, や-る	отправлять
rights	権	ケン、（ゴン）	права
constitution	憲	ケン	конституция
intelligent	賢	ケン、かしこ-い	мудрость
self-effacing	謙	ケン	скромность
key	鍵	ケン、かぎ	ключ
cocoon	繭	ケン, まゆ, きぬ	кокон
appear	顕	ケン, あらわ-れる	выявлять
test	験	ケン、（ゲン）, しるし, ため-す	испытывать
suspend	懸	ケン、（ケ）、か-ける、か-かる	висеть
origin	元	ゲン、ガン、もと	начало
phantasm	幻	ゲン、まぼろし	призрак
mysterious	玄	ゲン	непостижимый
say	言	ゲン、ゴン、い-う、こと	слово
bowstring	弦	ゲン、つる	тетива
limit	限	ゲン、かぎ-る	предел
field	原	ゲン、はら	равнина
appear	現	ゲン, あらわ-れる, あらわ-す, うつつ, うつ-つ	действительный
gunwale	舷	ゲン	борт судна
decrease	減	ゲン、へ-る、へ-らす	уменьшаться
origin	源	ゲン、みなもと	исток
strict	厳	ゲン、（ゴン）、おごそ-か、きび-しい, いか-めしい	строгий
self	己	コ、キ、おのれ, つちのと	сам
door	戸	コ、と	дверь
old	古	コ、ふる-い、ふる-す	старый
call	呼	コ、よ-ぶ	звать
hard	固	コ、かた-める、かた-まる、かた-い	твёрдый
crotch	股	コ, また, もも	бедро
tiger	虎	コ、とら	тигр
orphan	孤	コ	сирота
arc	弧	コ	дуга
circumstances	故	コ, ゆえ, ふる-い, もと	происшествие
wither	枯	コ、か-れる、か-らす	засыхать
individual	個	コ, カ	индивидуальный
warehouse	庫	コ、（ク）, くら	склад
lake	湖	コ、みずうみ	озеро
employ	雇	コ、やと-う	наём
boast	誇	コ、ほこ-る	гордость
drum	鼓	コ、つづみ	барабан
tie up	錮	コ	тюремное заключение
look back	顧	コ、かえり-みる	оглядываться
five	五	ゴ、いつ、いつ-つ	пять
mutually	互	ゴ, たが-い, かたみ-に	взаимный
noon	午	ゴ, うま	полдень
give	呉	ゴ, く-れる	делать для кого-л.
behind	後	ゴ、コウ、のち、うし-ろ、あと、おく-れる	после
recreation	娯	ゴ	веселиться
enlightenment	悟	ゴ、さと-る	просветление
Go	碁	ゴ	игра го
language	語	ゴ、かた-る、かた-らう	язык
mistake	誤	ゴ、あやま-る	ошибка
safeguard	護	ゴ, まも-る	защищать
mouth	口	コウ、ク、くち	рот
craft	工	コウ、ク	техника
public	公	コウ、おおやけ	общественный
capture	勾	コウ	похищать
cavity	孔	コウ, あな	отверстие
achievement	功	コウ、（ク）, いさお	заслуга
adroit	巧	コウ, たく-み, たく-む, うま-い	мастерство
wide	広	コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる	широкий
armor	甲	コウ、カン, きのえ	панцирь
mix	交	コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす, こもごも	пересекаться
ray	光	コウ、ひか-る、ひかり	сиять
overt here	向	コウ、む-く、む-ける、む-かう、む-こう	направленность
empress	后	コウ, ゴ, きさき	императрица
like	好	コウ, この-む, す-く, よ-い, い-い	нравиться
inlet	江	コウ、え	китайская река
think	考	コウ、かんが-える	думать
go	行	コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う	идти
pit	坑	コウ	шахта
filial piety	孝	コウ	сыновний долг
confront	抗	コウ, あらが-う	анти-
aggression	攻	コウ、せ-める	наступать
grow late	更	コウ、さら、ふ-ける、ふ-かす	обновлять
effect	効	コウ、き-く	эффект
happiness	幸	コウ、さいわ-い、さち、しあわ-せ	счастье
arrest	拘	コウ, かか-わる	несмотря
agreement	肯	コウ, がえん-ずる	соглашаться
marquis	侯	コウ	маркиз
thick	厚	コウ、あつ-い	толстый
constancy	恒	コウ, つね	постоянный
deluge	洪	コウ	наводнение
emperor	皇	コウ、オウ	император
deepred	紅	コウ、（ク）、べに、くれない, あか-い	алый
